Team,Elo_Score,LastMatchDate,TW_rate,TW_rate_7,TW_rate_12,TL_rate_7,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Colorado Rockies,-45.27413625773689,2024-09-30,0.3765432098765432,0.14285714285714285,0.3333333333333333,0.8571428571428572,0.6666666666666667,0.2,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
Detroit Tigers,66.50147003464242,2024-10-13,0.5325443786982249,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.4,0.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Houston Astros,40.97221824869983,2024-10-03,0.5398773006134969,0.42857142857142855,0.5,0.5714285714285714,0.5,0.2,0.6,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Kansas City Royals,-9.912211016701232,2024-10-11,0.5297619047619048,0.5714285714285714,0.5833333333333334,0.4285714285714286,0.41666666666666663,0.0,0.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
Los Angeles Angels,-161.91762208301262,2024-09-30,0.3888888888888889,0.14285714285714285,0.25,0.8571428571428572,0.75,0.4,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Los Angeles Dodgers,151.0909686313289,2024-10-31,0.6123595505617978,0.7142857142857143,0.75,0.2857142857142857,0.25,0.8,0.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Miami Marlins,-38.74717389409786,2024-09-30,0.38271604938271603,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.2,0.8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Milwaukee Brewers,51.39928144788186,2024-10-04,0.5696969696969697,0.5714285714285714,0.5,0.4285714285714286,0.5,0.4,0.6,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Minnesota Twins,-87.59672301324613,2024-09-30,0.5061728395061729,0.14285714285714285,0.25,0.8571428571428572,0.75,0.2,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
National League,-68.469956267559,2024-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York Mets,86.17394580505444,2024-10-21,0.5485714285714286,0.42857142857142855,0.5,0.5714285714285714,0.5,0.6,0.4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
New York Yankees,52.492244232642776,2024-10-31,0.5795454545454546,0.42857142857142855,0.5833333333333334,0.5714285714285714,0.41666666666666663,0.6,0.4,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Philadelphia Phillies,27.483911485463587,2024-10-10,0.5783132530120482,0.2857142857142857,0.3333333333333333,0.7142857142857143,0.6666666666666667,0.6,0.2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Pittsburgh Pirates,-22.05245586333469,2024-09-30,0.4691358024691358,0.5714285714285714,0.4166666666666667,0.4285714285714286,0.5833333333333333,0.4,0.6,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
San Diego Padres,98.72330201582885,2024-10-12,0.5739644970414202,0.5714285714285714,0.5,0.4285714285714286,0.5,0.8,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
San Francisco Giants,5.331952120748872,2024-09-30,0.49382716049382713,0.5714285714285714,0.6666666666666666,0.4285714285714286,0.33333333333333337,0.2,0.8,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Seattle Mariners,41.54727992639154,2024-09-30,0.5246913580246914,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.33333333333333337,0.8,0.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
St.Louis Cardinals,37.60215898461478,2024-09-30,0.5123456790123457,0.7142857142857143,0.6666666666666666,0.2857142857142857,0.33333333333333337,0.6,0.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Tampa Bay Rays,7.131975891919112,2024-09-30,0.49382716049382713,0.42857142857142855,0.5833333333333334,0.5714285714285714,0.41666666666666663,0.8,0.4,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Texas Rangers,-14.844884454363225,2024-09-30,0.48148148148148145,0.7142857142857143,0.5833333333333334,0.2857142857142857,0.41666666666666663,0.4,0.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Toronto Blue Jays,-66.17431452746635,2024-09-30,0.453416149068323,0.14285714285714285,0.16666666666666666,0.8571428571428572,0.8333333333333334,0.2,0.2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Washington Nationals,-64.01550290640783,2024-09-30,0.4382716049382716,0.2857142857142857,0.25,0.7142857142857143,0.75,0.4,0.2,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
