Team,Elo_Score,LastMatchDate,TW_rate,TD_rate,TW_rate_7,TD_rate_7,TW_rate_12,TL_rate_7,TD_rate_12,TL_rate_12,HTHW_rate_5,ATAW_rate_5,last_TR_isW_1,last_TR_isL_1,last_TR_isW_2,last_TR_isL_2,last_TR_isW_3,last_TR_isL_3,last_HTHR_isW_1,last_HTHR_isL_1,last_HTHR_isW_2,last_HTHR_isL_2,last_ATAR_isW_1,last_ATAR_isL_1,last_ATAR_isW_2,last_ATAR_isL_2
Houston Dynamo,-1.1135645291665206,2024-11-04,0.4166666666666667,0.25,0.42857142857142855,0.0,0.4166666666666667,0.5714285714285714,0.16666666666666666,0.41666666666666663,0.6,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Inter Miami,58.83846758403297,2024-11-10,0.6216216216216216,0.21621621621621623,0.5714285714285714,0.14285714285714285,0.5833333333333334,0.28571428571428575,0.25,0.16666666666666663,0.6,0.4,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Liga MX All-Stars,-15.411089651313677,2024-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles FC,82.86032428478643,2024-11-09,0.5675675675675675,0.1891891891891892,0.8571428571428571,0.0,0.5833333333333334,0.1428571428571429,0.16666666666666666,0.24999999999999997,0.8,0.6,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Los Angeles Galaxy,50.83929532599019,2024-11-02,0.5833333333333334,0.19444444444444445,0.7142857142857143,0.0,0.75,0.2857142857142857,0.0,0.25,1.0,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
MLS All-Stars,-80.44259450005465,2024-07-25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota United,6.383190667552297,2024-11-03,0.4722222222222222,0.19444444444444445,0.8571428571428571,0.14285714285714285,0.75,5.551115123125783e-17,0.08333333333333333,0.16666666666666669,0.6,0.8,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Nashville SC,-80.8418627870003,2024-10-20,0.2647058823529412,0.2647058823529412,0.42857142857142855,0.14285714285714285,0.25,0.42857142857142855,0.08333333333333333,0.6666666666666666,0.2,0.4,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
New England Revolution,-93.6468416583916,2024-10-20,0.2647058823529412,0.11764705882352941,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.7142857142857144,0.25,0.5833333333333334,0.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
New York City,9.366003295859834,2024-11-10,0.43243243243243246,0.21621621621621623,0.7142857142857143,0.0,0.4166666666666667,0.2857142857142857,0.25,0.33333333333333326,0.6,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
New York Red Bulls,-6.883561098655413,2024-11-04,0.3611111111111111,0.3888888888888889,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.25,0.41666666666666674,0.2,0.4,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Orlando City,45.783912083842665,2024-11-10,0.4594594594594595,0.1891891891891892,0.7142857142857143,0.0,0.6666666666666666,0.2857142857142857,0.0,0.33333333333333337,0.8,0.4,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Philadelphia Union,-32.84705199077635,2024-10-20,0.2647058823529412,0.29411764705882354,0.2857142857142857,0.14285714285714285,0.4166666666666667,0.5714285714285714,0.08333333333333333,0.49999999999999994,0.4,0.4,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Portland Timbers,-18.655246433347656,2024-10-24,0.34285714285714286,0.3142857142857143,0.14285714285714285,0.5714285714285714,0.25,0.2857142857142858,0.4166666666666667,0.3333333333333333,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Real Salt Lake,5.777506594308267,2024-11-03,0.4444444444444444,0.3055555555555556,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.28571428571428575,0.25,0.41666666666666674,0.4,0.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
San Jose Earthquakes,-156.10378983368668,2024-10-20,0.17647058823529413,0.08823529411764706,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.7142857142857144,0.08333333333333333,0.75,0.2,0.2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Seattle Sounders,69.5021109486544,2024-11-04,0.5,0.25,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.0,0.16666666666666666,0.1666666666666667,0.6,0.8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Sporting Kansas City,-88.85212776751965,2024-10-20,0.23529411764705882,0.20588235294117646,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.7142857142857144,0.16666666666666666,0.5000000000000001,0.4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
St. Louis City,-68.41390072669422,2024-10-20,0.23529411764705882,0.38235294117647056,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.25,0.41666666666666674,0.6,0.2,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Toronto FC,-141.0926455335215,2024-10-06,0.3235294117647059,0.11764705882352941,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.7142857142857144,0.08333333333333333,0.5833333333333334,0.2,0.4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Vancouver Whitecaps,-32.48536864032922,2024-11-09,0.39473684210526316,0.21052631578947367,0.2857142857142857,0.0,0.25,0.7142857142857143,0.16666666666666666,0.5833333333333334,0.4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
